Code_Politique_Dominante;Description_Politique_Dominante;Code_Secteur_Intervention;Description_Secteur_Intervention;Code_Sous_Secteur;Description_Sous_Secteur_Interv;Code_Programme;Description_Programme;Nature_Affect_Operation;Vsectsubv;Vmt_Bp
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P058;Gestion des equipements par les clubs;Depense;Investissement;85000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P058;Gestion des equipements par les clubs;Depense;Subventions;554210
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P059;Piscines;Depense;Fonctionnement;240000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P059;Piscines;Depense;Investissement;305000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P059;Piscines;Recette;Fonctionnement;627500
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P060;Gestion salles et stades;Depense;Fonctionnement;745000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P060;Gestion salles et stades;Depense;Investissement;1098000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P060;Gestion salles et stades;Recette;Fonctionnement;110000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P060;Gestion salles et stades;Recette;Investissement;0
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P061;Rehabilitation et construction d'equipements sportifs;Depense;Investissement;1890000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P061;Rehabilitation et construction d'equipements sportifs;Recette;Investissement;160000
F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P133;Bowling et tennis de Meriadeck;Depense;Investissement;50000
G-;Vie en societe;G-01;Petite enfance;;;P062;Structures sous gestion municipale;Depense;Fonctionnement;623500
G-;Vie en societe;G-01;Petite enfance;;;P062;Structures sous gestion municipale;Recette;Fonctionnement;15655546
G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Depense;Fonctionnement;754077
G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Depense;Investissement;0
G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Depense;Subventions;6230424
G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Recette;Investissement;0
G-;Vie en societe;G-01;Petite enfance;;;P064;Patrimoine et equipements de la petite enfance;Depense;Fonctionnement;93000
G-;Vie en societe;G-01;Petite enfance;;;P064;Patrimoine et equipements de la petite enfance;Depense;Investissement;2552000
G-;Vie en societe;G-01;Petite enfance;;;P064;Patrimoine et equipements de la petite enfance;Recette;Investissement;0
G-;Vie en societe;G-02;Education;;;P065;Patrimoine et equipements de l'education;Depense;Investissement;6965478
